Ingredient,Quantity
Barbecued Chicken,565.7142857142857
Red Peppers,1885.714285714289
Green Peppers,1037.1428571428569
Tomatoes,7354.285714285697
Red Onions,10937.142857142851
Barbecue Sauce,188.57142857142856
Bacon,2640.0
Pepperoni,4085.7142857142876
Italian Sausage,62.85714285714286
Chorizo Sausage,314.2857142857143
Brie Carre Cheese,188.57142857142856
Prosciutto,188.57142857142856
Pears,62.85714285714286
Thyme,31.42857142857143
Garlic,3771.428571428563
?duja Salami,754.2857142857142
Pancetta,1131.4285714285713
Friggitello Peppers,188.57142857142856
Chicken,9428.571428571437
Artichokes,1697.14285714286
Spinach,4525.714285714287
Jalapeno Peppers,565.7142857142858
Fontina Cheese,754.2857142857143
Gouda Cheese,377.1428571428571
Mushrooms,5280.0000000000055
Asiago Cheese,1131.4285714285716
Alfredo Sauce,282.85714285714283
Pesto Sauce,1131.4285714285716
Mozzarella Cheese,1885.7142857142867
Provolone Cheese,188.57142857142856
Smoked Gouda Cheese,188.57142857142856
Romano Cheese,188.57142857142856
Blue Cheese,188.57142857142856
Ricotta Cheese,471.4285714285714
Gorgonzola Piccante Cheese,377.1428571428571
Parmigiano Reggiano Cheese,942.8571428571429
Green Olives,754.2857142857147
Feta Cheese,2640.000000000002
Pineapple,1131.428571428571
Capocollo,7542.8571428571495
Goat Cheese,1508.5714285714287
Oregano,188.57142857142856
Calabrese Salami,1885.7142857142858
Eggplant,754.2857142857142
Zucchini,754.2857142857143
Kalamata Olives,848.5714285714289
Sun-dried Tomatoes,377.14285714285717
Plum Tomatoes,754.2857142857142
Cilantro,377.14285714285717
Corn,2514.2857142857147
Chipotle Sauce,754.2857142857143
Anchovies,534.2857142857143
Genoa Salami,1131.4285714285713
Prosciutto di San Daniele,439.99999999999994
Arugula,188.57142857142856
Coarse Sicilian Salami,1508.5714285714284
Luganega Sausage,754.2857142857142
Onions,377.1428571428571
Soppressata Salami,1885.7142857142858
Peperoncini verdi,188.57142857142856
Thai Sweet Chilli Sauce,377.1428571428571
Beef Chuck Roast,3582.857142857144
